entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,component,set,lovetoys,s,2026-02-13 23:10:29Z,9.58e-7,9.17e-7,9.58e-7,100
100,component,set,nata,s,2026-02-13 23:10:38Z,2.92e-7,2.5e-7,3.33e-7,100
100,component,set,tinyecs,s,2026-02-13 23:10:39Z,2.5e-7,2.08e-7,2.5e-7,100
100,component,set,concord,kb,2026-02-13 23:10:56Z,0.0001,0.0001,0.0001,100
100,component,set,concord-no-serialize,kb,2026-02-13 23:11:24Z,0.0001,0.0001,0.0001,100
100,component,set,ecs-lua,kb,2026-02-13 23:11:45Z,8.5938,8.5938,8.5938,100
100,component,set,lovetoys,kb,2026-02-13 23:12:03Z,0.0001,0.0001,0.0001,100
100,component,set,nata,kb,2026-02-13 23:12:13Z,0.0001,0.0001,0.0001,100
100,component,set,tinyecs,kb,2026-02-13 23:12:14Z,0.0001,0.0001,0.0001,100
100,component,add,concord,s,2026-02-13 23:12:16Z,0.000057229,0.000055208,0.000060208,100
100,component,add,concord-no-serialize,s,2026-02-13 23:12:26Z,0.0001187085,0.000114208,0.0001242085,100
100,component,add,ecs-lua-batch,s,2026-02-13 23:12:49Z,0.0000668335,0.000066354,0.000067667,100
100,component,add,ecs-lua-nobatch,s,2026-02-13 23:13:03Z,0.000083708,0.000077167,0.0000846455,100
100,component,add,lovetoys-batch,s,2026-02-13 23:13:16Z,0.00005625,0.000051146,0.000064,100
100,component,add,lovetoys-nobatch,s,2026-02-13 23:13:26Z,0.000045958,0.0000454585,0.000046167,100
100,component,add,nata,s,2026-02-13 23:13:36Z,4.667e-6,4.625e-6,4.667e-6,100
100,component,add,tinyecs,s,2026-02-13 23:13:38Z,3.667e-6,3.583e-6,3.708e-6,100
100,component,add,concord,kb,2026-02-13 23:14:00Z,28.9609,28.9609,28.9609,100
100,component,add,concord-no-serialize,kb,2026-02-13 23:14:34Z,28.9609,28.9609,28.9609,100
100,component,add,ecs-lua-batch,kb,2026-02-13 23:15:01Z,67.1563,67.1563,67.1563,100
100,component,add,ecs-lua-nobatch,kb,2026-02-13 23:15:19Z,67.1563,67.1563,67.1563,100
100,component,add,lovetoys-batch,kb,2026-02-13 23:15:38Z,43.75,43.75,43.75,100
100,component,add,lovetoys-nobatch,kb,2026-02-13 23:15:48Z,35.1563,35.1563,35.1563,100
100,component,add,nata,kb,2026-02-13 23:15:59Z,10.9375,10.9375,10.9375,100
100,component,add,tinyecs,kb,2026-02-13 23:16:01Z,12.0703,12.0703,12.0703,100
100,component,remove,concord,s,2026-02-13 23:16:03Z,0.000043625,0.000041833,0.000045542,100
100,component,remove,concord-no-serialize,s,2026-02-13 23:16:27Z,0.0001328335,0.000125917,0.000138792,100
100,component,remove,ecs-lua,s,2026-02-13 23:16:47Z,0.000038792,0.00003825,0.000039396,100
100,component,remove,lovetoys,s,2026-02-13 23:17:01Z,0.000030708,0.000030583,0.000030792,100
100,component,remove,nata,s,2026-02-13 23:17:10Z,2.042e-6,2.042e-6,2.083e-6,100
100,component,remove,tinyecs,s,2026-02-13 23:17:11Z,1.792e-6,1.75e-6,1.833e-6,100
100,component,remove,concord,kb,2026-02-13 23:17:28Z,3.9609,3.9609,3.9609,100
100,component,remove,concord-no-serialize,kb,2026-02-13 23:17:54Z,3.9609,3.9609,5.66795,100
100,component,remove,ecs-lua,kb,2026-02-13 23:18:15Z,23.4063,23.4063,23.4063,100
100,component,remove,lovetoys,kb,2026-02-13 23:18:33Z,15.625,15.625,15.625,100
100,component,remove,nata,kb,2026-02-13 23:18:44Z,0.0001,0.0001,0.0001,100
100,component,remove,tinyecs,kb,2026-02-13 23:18:45Z,1.1328,1.1328,1.1328,100
100,tag,has,concord,s,2026-02-13 23:18:47Z,4.58e-7,4.58e-7,4.58e-7,100
100,tag,has,concord-no-serialize,s,2026-02-13 23:19:18Z,4.17e-7,3.75e-7,4.17e-7,100
100,tag,has,ecs-lua,s,2026-02-13 23:19:47Z,1.583e-6,1.542e-6,1.583e-6,100
100,tag,has,lovetoys,s,2026-02-13 23:20:01Z,3.33e-7,3.33e-7,3.33e-7,100
100,tag,has,nata,s,2026-02-13 23:20:09Z,1.25e-7,1.25e-7,1.67e-7,100
100,tag,has,tinyecs,s,2026-02-13 23:20:11Z,1.25e-7,1.25e-7,1.25e-7,100
100,tag,has,concord,kb,2026-02-13 23:20:28Z,0.0001,0.0001,0.0001,100
100,tag,has,concord-no-serialize,kb,2026-02-13 23:21:00Z,0.0001,0.0001,0.0001,100
100,tag,has,ecs-lua,kb,2026-02-13 23:21:23Z,8.5938,8.5938,8.5938,100
100,tag,has,lovetoys,kb,2026-02-13 23:21:41Z,0.0001,0.0001,0.0001,100
100,tag,has,nata,kb,2026-02-13 23:21:51Z,0.0001,0.0001,0.0001,100
100,tag,has,tinyecs,kb,2026-02-13 23:21:52Z,0.0001,0.0001,0.0001,100
100,tag,add,concord,s,2026-02-13 23:21:54Z,0.000041833,0.0000398125,0.0000441455,100
100,tag,add,concord-no-serialize,s,2026-02-13 23:22:13Z,0.0001149795,0.000111625,0.000119208,100
100,tag,add,ecs-lua-batch,s,2026-02-13 23:22:40Z,0.0000556875,0.000055292,0.0000562915,100
100,tag,add,ecs-lua-nobatch,s,2026-02-13 23:22:55Z,0.000065396,0.000064042,0.0000713335,100
100,tag,add,lovetoys-batch,s,2026-02-13 23:23:07Z,0.000050021,0.0000494375,0.000050375,100
100,tag,add,lovetoys-nobatch,s,2026-02-13 23:23:17Z,0.000044542,0.000044354,0.00004475,100
100,tag,add,nata,s,2026-02-13 23:23:27Z,3.5e-6,3.4375e-6,3.542e-6,100
100,tag,add,tinyecs,s,2026-02-13 23:23:29Z,2.708e-6,2.667e-6,2.75e-6,100
100,tag,add,concord,kb,2026-02-13 23:23:56Z,19.5859,19.5859,19.5859,100
100,tag,add,concord-no-serialize,kb,2026-02-13 23:24:30Z,19.5859,19.5859,19.5859,100
100,tag,add,ecs-lua-batch,kb,2026-02-13 23:24:56Z,51.5313,51.5313,51.5313,100
100,tag,add,ecs-lua-nobatch,kb,2026-02-13 23:25:14Z,51.5313,51.5313,51.5313,100
100,tag,add,lovetoys-batch,kb,2026-02-13 23:25:33Z,35.1563,35.1563,35.1563,100
100,tag,add,lovetoys-nobatch,kb,2026-02-13 23:25:44Z,26.5625,26.5625,26.5625,100
100,tag,add,nata,kb,2026-02-13 23:25:55Z,0.0001,0.0001,0.0001,100
100,tag,add,tinyecs,kb,2026-02-13 23:25:57Z,1.1328,1.1328,1.1328,100
100,tag,remove,concord,s,2026-02-13 23:25:59Z,0.0000527705,0.000050083,0.000056,100
100,tag,remove,concord-no-serialize,s,2026-02-13 23:26:22Z,0.000050271,0.000048,0.0000526875,100
100,tag,remove,ecs-lua,s,2026-02-13 23:26:44Z,0.0000438955,0.00004275,0.000045542,100
100,tag,remove,lovetoys,s,2026-02-13 23:26:57Z,0.000031208,0.000031042,0.0000314375,100
100,tag,remove,nata,s,2026-02-13 23:27:06Z,2.0625e-6,2.042e-6,2.083e-6,100
100,tag,remove,tinyecs,s,2026-02-13 23:27:08Z,1.792e-6,1.75e-6,1.792e-6,100
100,tag,remove,concord,kb,2026-02-13 23:27:24Z,3.9609,3.9609,3.9609,100
100,tag,remove,concord-no-serialize,kb,2026-02-13 23:27:44Z,3.9609,3.9609,3.9609,100
100,tag,remove,ecs-lua,kb,2026-02-13 23:28:12Z,23.4063,23.4063,23.4063,100
100,tag,remove,lovetoys,kb,2026-02-13 23:28:30Z,15.625,15.625,15.625,100
100,tag,remove,nata,kb,2026-02-13 23:28:41Z,0.0001,0.0001,0.0001,100
100,tag,remove,tinyecs,kb,2026-02-13 23:28:42Z,1.1328,1.1328,1.1328,100
100,system,throughput,concord,s,2026-02-13 23:28:44Z,7.5e-7,7.5e-7,7.71e-7,100
100,system,throughput,ecs-lua,s,2026-02-13 23:28:49Z,5.646e-6,5.583e-6,5.792e-6,100
100,system,throughput,lovetoys,s,2026-02-13 23:28:51Z,1.583e-6,1.583e-6,1.583e-6,100
100,system,throughput,nata,s,2026-02-13 23:28:52Z,5e-7,5e-7,5e-7,100
100,system,throughput,tinyecs,s,2026-02-13 23:28:53Z,4.17e-7,4.17e-7,4.17e-7,100
100,system,throughput,concord,kb,2026-02-13 23:28:54Z,0.0001,0.0001,0.0001,100
100,system,throughput,ecs-lua,kb,2026-02-13 23:28:59Z,18.5234,18.5234,18.5234,100
100,system,throughput,lovetoys,kb,2026-02-13 23:29:01Z,0.0001,0.0001,0.0001,100
100,system,throughput,nata,kb,2026-02-13 23:29:03Z,0.0001,0.0001,0.0001,100
100,system,throughput,tinyecs,kb,2026-02-13 23:29:04Z,0.0001,0.0001,0.0001,100
100,system,overlap,concord,s,2026-02-13 23:29:05Z,7.08e-7,6.67e-7,7.08e-7,100
100,system,overlap,ecs-lua,s,2026-02-13 23:29:12Z,0.0000122915,0.00001175,0.0000170625,100
100,system,overlap,lovetoys,s,2026-02-13 23:29:15Z,1.708e-6,1.667e-6,1.708e-6,100
