entities,test,framework,unit,timestamp,median,mean,stddev,min,max,rounds
10,get_components,echoes,s,2024-02-03 22:42:25Z,0.000000083,0.000000092,0.000000378,0.000000001,0.000064333,105793
10,get_components,echoes,kb,2024-02-03 22:42:27Z,0.0001,0.0001,0.0014,0.0001,0.4531,103887
10,get_components,lovetoys,s,2024-02-03 22:42:28Z,0.000000083,0.000000072,0.000000108,0.000000001,0.000017875,82647
10,get_components,lovetoys,kb,2024-02-03 22:42:29Z,0.0001,0.0001,0.0016,0.0001,0.4531,81855
10,get_components,tinyecs,s,2024-02-03 22:42:30Z,0.000000042,0.000000057,0.000000067,0.000000001,0.000026042,909988
10,get_components,tinyecs,kb,2024-02-03 22:42:32Z,0.0001,0.0001,0.0005,0.0001,0.4531,878728
10,get_components,ecs-lua,s,2024-02-03 22:42:34Z,0.000001875,0.000001935,0.000000885,0.000001625,0.000093833,72228
10,get_components,ecs-lua,kb,2024-02-03 22:42:36Z,2.2656,2.2656,0,2.2656,2.2656,71895
10,get_components,nata,s,2024-02-03 22:42:37Z,0.000000042,0.000000056,0.000000046,0.000000001,0.000008792,171816
10,get_components,nata,kb,2024-02-03 22:42:38Z,0.0001,0.0001,0.0011,0.0001,0.4531,171534
10,get_components,concord,s,2024-02-03 22:42:40Z,0.000000042,0.00000005,0.000000151,0.000000001,0.000027625,112032
10,get_components,concord,kb,2024-02-03 22:42:41Z,0.0001,0.0001,0.0053,0.0001,0.7344,120975
10,add_component,echoes,s,2024-02-03 22:42:42Z,0.00000175,0.000001831,0.000000688,0.000001583,0.000115458,245356
10,add_component,echoes,kb,2024-02-03 22:42:44Z,8.2031,8.2031,0.0009,8.2031,8.6563,247013
10,add_component,lovetoys,s,2024-02-03 22:42:45Z,0.000002542,0.000002581,0.000000616,0.000002333,0.000055458,140582
10,add_component,lovetoys,kb,2024-02-03 22:42:46Z,2.8906,2.8906,0,2.8906,2.8906,134609
10,add_component,tinyecs,s,2024-02-03 22:42:48Z,0.000000292,0.000000299,0.000000228,0.000000167,0.000026292,942896
10,add_component,tinyecs,kb,2024-02-03 22:42:49Z,1.5625,1.5625,0.0005,1.5625,2.0156,911046
10,add_component,ecs-lua,s,2024-02-03 22:42:51Z,0.0000025,0.000002509,0.000000722,0.000002292,0.000209667,164085
10,add_component,ecs-lua,kb,2024-02-03 22:42:53Z,3.75,3.75,0,3.75,3.75,162856
10,add_component,nata,s,2024-02-03 22:42:54Z,0.000000292,0.000000312,0.000000144,0.000000208,0.000026875,176929
10,add_component,nata,kb,2024-02-03 22:42:55Z,1.5625,1.5625,0.0011,1.5625,2.0156,176716
10,add_component,concord,s,2024-02-03 22:42:57Z,0.000000875,0.000000924,0.00000045,0.00000075,0.000062625,185378
10,add_component,concord,kb,2024-02-03 22:42:58Z,2.5,2.5,0.001,2.5,2.9531,186625
10,add_components,echoes,s,2024-02-03 22:42:59Z,0.00000675,0.000006881,0.000001546,0.000006333,0.000220917,102347
10,add_components,echoes,kb,2024-02-03 22:43:01Z,12.4219,12.4219,0,12.4219,12.4219,101926
10,add_components,lovetoys,s,2024-02-03 22:43:02Z,0.000007167,0.000007385,0.000001436,0.00000675,0.000172583,83397
10,add_components,lovetoys,kb,2024-02-03 22:43:03Z,7.8125,7.8125,0,7.8125,7.8125,83313
10,add_components,tinyecs,s,2024-02-03 22:43:04Z,0.000000708,0.00000073,0.00000026,0.000000583,0.000036542,673535
